onset,sample,condition
12.3641666666667,14838,ZINNEN
20.2975,24358,ZINNEN
27.1325,32560,ZINNEN
34.6158333333333,41540,ZINNEN
43.3433333333333,52013,ZINNEN
53.91,64693,WOORDEN
68.0383333333333,81647,WOORDEN
78.8216666666667,94587,WOORDEN
89.8808333333333,107858,WOORDEN
102.499166666667,123000,WOORDEN
115.65,138781,ZINNEN
127.7875,153346,ZINNEN
136.2,163441,ZINNEN
144.849166666667,173820,ZINNEN
153.170833333333,183806,ZINNEN
162.97,195565,WOORDEN
175.400833333333,210482,WOORDEN
187.659166666667,225192,WOORDEN
197.883333333333,237461,WOORDEN
208.7,250441,WOORDEN
223.215,267859,ZINNEN
231.215833333333,277460,ZINNEN
238.5825,286300,ZINNEN
246.026666666667,295233,ZINNEN
253.760833333333,304514,ZINNEN
264.376666666667,317253,WOORDEN
279.879166666667,335856,WOORDEN
290.9025,349084,WOORDEN
302.058333333333,362471,WOORDEN
313.63,376357,WOORDEN
327.613333333333,393137,ZINNEN
336.018333333333,403223,ZINNEN
345.715,414859,ZINNEN
356.16,427393,ZINNEN
367.5825,441100,ZINNEN
379.438333333333,455327,WOORDEN
393.439166666667,472128,WOORDEN
407.66,489193,WOORDEN
418.5975,502318,WOORDEN
429.068333333333,514883,WOORDEN
442.930833333333,531518,ZINNEN
450.480833333333,540578,ZINNEN
460.349166666667,552420,ZINNEN
469.5025,563404,ZINNEN
479.843333333333,575813,ZINNEN
489.661666666667,587595,WOORDEN
506.186666666667,607425,WOORDEN
517.681666666667,621219,WOORDEN
528.859166666667,634632,WOORDEN
540.871666666667,649047,WOORDEN
553.0675,663682,ZINNEN
563.096666666667,675717,ZINNEN
569.644166666667,683574,ZINNEN
576.746666666667,692097,ZINNEN
587.8125,705376,ZINNEN
600.570833333333,720686,WOORDEN
610.809166666667,732972,WOORDEN
624.749166666667,749700,WOORDEN
637.1575,764590,WOORDEN
647.765833333333,777320,WOORDEN
662.768333333333,795323,ZINNEN
670.573333333333,804689,ZINNEN
678.2175,813862,ZINNEN
685.746666666667,822897,ZINNEN
695.588333333333,834707,ZINNEN
705.1975,846238,WOORDEN
717.575,861091,WOORDEN
729.8675,875842,WOORDEN
743.633333333333,892361,WOORDEN
756.350833333333,907622,WOORDEN
768.2525,921904,ZINNEN
779.189166666667,935028,ZINNEN
788.3675,946042,ZINNEN
795.185833333333,954224,ZINNEN
802.2525,962704,ZINNEN
814.644166666667,977574,WOORDEN
826.555,991867,WOORDEN
838.955833333333,1006748,WOORDEN
852.288333333333,1022747,WOORDEN
863.781666666667,1036539,WOORDEN
920.988333333333,1105187,ZINNEN
928.83,1114597,ZINNEN
937.433333333333,1124921,ZINNEN
945.875833333333,1135052,ZINNEN
953.941666666667,1144731,ZINNEN
963.565833333333,1156280,WOORDEN
977.4075,1172890,WOORDEN
988.715833333333,1186460,WOORDEN
1002.045,1202455,WOORDEN
1014.4925,1217392,WOORDEN
1028.53083333333,1234238,ZINNEN
1036.74583333333,1244096,ZINNEN
1044.66166666667,1253595,ZINNEN
1051.5225,1261828,ZINNEN
1064.7575,1277710,ZINNEN
1075.34916666667,1290420,WOORDEN
1086.88833333333,1304267,WOORDEN
1096.24666666667,1315497,WOORDEN
1113.1275,1335754,WOORDEN
1125.26,1350313,WOORDEN
1138.37666666667,1366053,ZINNEN
1146.84416666667,1376214,ZINNEN
1154.84416666667,1385814,ZINNEN
1161.6225,1393948,ZINNEN
1169.60083333333,1403522,ZINNEN
1179.72666666667,1415673,WOORDEN
1191.31833333333,1429583,WOORDEN
1204.03916666667,1444848,WOORDEN
1215.26416666667,1458318,WOORDEN
1225.04083333333,1470050,WOORDEN
1243.5525,1492264,ZINNEN
1252.195,1502635,ZINNEN
1263.55,1516261,ZINNEN
1271.15166666667,1525383,ZINNEN
1279.31916666667,1535184,ZINNEN
1289.59916666667,1547520,WOORDEN
1301.1425,1561372,WOORDEN
1312.2125,1574656,WOORDEN
1331.565,1597879,WOORDEN
1342.66,1611193,WOORDEN
1380.43833333333,1656527,ZINNEN
1389.0675,1666882,ZINNEN
1397.00166666667,1676403,ZINNEN
1405.37583333333,1686452,ZINNEN
1412.44333333333,1694933,ZINNEN
1421.46833333333,1705763,WOORDEN
1433.03166666667,1719639,WOORDEN
1443.6925,1732432,WOORDEN
1453.5175,1744222,WOORDEN
1464.2525,1757104,WOORDEN
1478.9625,1774756,ZINNEN
1488.1025,1785724,ZINNEN
1498.5225,1798228,ZINNEN
1505.145,1806175,ZINNEN
1512.42166666667,1814907,ZINNEN
1522.86833333333,1827443,WOORDEN
1535.1225,1842148,WOORDEN
1548.01416666667,1857618,WOORDEN
1559.1475,1870978,WOORDEN
1570.80916666667,1884972,WOORDEN
1585.20166666667,1902243,ZINNEN
1592.74333333333,1911293,ZINNEN
1604.915,1925899,ZINNEN
1613.10916666667,1935732,ZINNEN
1620.59333333333,1944713,ZINNEN
1630.11916666667,1956144,WOORDEN
1640.45666666667,1968549,WOORDEN
1652.13,1982557,WOORDEN
1665.1675,1998202,WOORDEN
1676.5475,2011858,WOORDEN
1692.98166666667,2031579,ZINNEN
1701.1525,2041384,ZINNEN
1709.92916666667,2051916,ZINNEN
1718.12916666667,2061756,ZINNEN
1728.7925,2074552,ZINNEN
1739.88,2087857,WOORDEN
1749.90583333333,2099888,WOORDEN
1760.02083333333,2112026,WOORDEN
1772.24416666667,2126694,WOORDEN
1783.67083333333,2140406,WOORDEN
1799.01666666667,2158821,ZINNEN
1807.15583333333,2168588,ZINNEN
1821.2575,2185510,ZINNEN
1829.17916666667,2195016,ZINNEN
1837.14166666667,2204571,ZINNEN
1846.34,2215609,WOORDEN
1857.34166666667,2228811,WOORDEN
1871.6825,2246020,WOORDEN
1884.47833333333,2261375,WOORDEN
1899.98083333333,2279978,WOORDEN
1912.66666666667,2295201,ZINNEN
1924.74916666667,2309700,ZINNEN
1934.56333333333,2321477,ZINNEN
1942.07833333333,2330495,ZINNEN
1950.81583333333,2340980,ZINNEN
1960.53166666667,2352639,WOORDEN
1970.27416666667,2364330,WOORDEN
1982.6075,2379130,WOORDEN
1997.835,2397403,WOORDEN
2009.70833333333,2411651,WOORDEN
2022.44416666667,2426934,ZINNEN
2030.19666666667,2436237,ZINNEN
2038.265,2445919,ZINNEN
2046.71583333333,2456060,ZINNEN
2053.62083333333,2464346,ZINNEN
2064.775,2477731,WOORDEN
2074.81166666667,2489775,WOORDEN
2086.755,2504107,WOORDEN
2098.1125,2517736,WOORDEN
2109.23333333333,2531081,WOORDEN
2126.57583333333,2551892,ZINNEN
2134.70333333333,2561645,ZINNEN
2149.34916666667,2579220,ZINNEN
2157.86416666667,2589438,ZINNEN
2165.34916666667,2598420,ZINNEN
2175.075,2610091,WOORDEN
2190.04833333333,2628059,WOORDEN
2200.86333333333,2641037,WOORDEN
2211.555,2653867,WOORDEN
2223.1625,2667796,WOORDEN
2237.20166666667,2684643,ZINNEN
2244.7525,2693704,ZINNEN
2252.86166666667,2703435,ZINNEN
2260.62333333333,2712749,ZINNEN
2268.52833333333,2722235,ZINNEN
2278.28666666667,2733945,WOORDEN
2288.87,2746645,WOORDEN
2299.2825,2759140,WOORDEN
2316.72916666667,2780076,WOORDEN
2331.45583333333,2797748,WOORDEN
2345.6575,2814790,ZINNEN
2353.18166666667,2823819,ZINNEN
2360.905,2833087,ZINNEN
2370.12416666667,2844150,ZINNEN
2382.1925,2858632,ZINNEN
2393.56166666667,2872275,WOORDEN
2405.995,2887195,WOORDEN
2415.20666666667,2898249,WOORDEN
2426.38166666667,2911659,WOORDEN
2444.87916666667,2933856,WOORDEN
